,title,district,area,orient,floor,price,city
51,独栋·泊寓 新里程社区店 E-2户型 开间,仅剩3间 , 29㎡,3间在租 , 1室0厅1卫,1300-1469 元/月,徐州
52,合租·南洋国际 5居室 南卧,铜山区, 25㎡,南 , 中楼层 （31层）,500 元/月,徐州
53,独栋·泊寓 新里程社区店 C-1户型 开间,仅剩5间 , 32㎡,5间在租 , 1室0厅1卫,1619-1659 元/月,徐州
54,整租·大象城 2室2厅 南,邳州市, 78㎡,南 , 高楼层 （30层）,2400 元/月,徐州
55,独栋·泊寓 淮海天地店 D7（东） 开间,仅剩2间 , 50㎡,2间在租 , 1室0厅1卫,1970-1980 元/月,徐州
56,整租·永业小区 3室2厅 南,泉山区, 113㎡,南 , 中楼层 （7层）,2300 元/月,徐州
57,独栋·泊寓 淮海天地店 D10（东） 开间,仅剩1间 , 45㎡,1间在租 , 1室0厅1卫,1880 元/月,徐州
58,整租·春雨小区 3室2厅 南,泉山区, 118㎡,南 , 中楼层 （7层）,2200 元/月,徐州
59,独栋·泊寓 淮海天地店 D12（西）,仅剩1间 , 27㎡,1间在租 , 未知室0厅0卫,1410 元/月,徐州
60,整租·万悦城 3室2厅 南/北,泉山区, 140㎡,南 北 , 低楼层 （7层）,1500 元/月,徐州
61,独栋·泊寓 淮海天地店 D2（东西） 开间,仅剩2间 , 29㎡,2间在租 , 1室0厅1卫,1610 元/月,徐州
62,整租·事业小区 1室1厅 南/北,泉山区, 50㎡,南 北 , 高楼层 （7层）,700 元/月,徐州
63,独栋·泊寓 新里程社区店 E-1户型 开间,仅剩1间 , 27㎡,1间在租 , 1室0厅1卫,1439 元/月,徐州
64,整租·天山绿洲三期A区/B区 1室0厅 东,泉山区,B区, 28㎡ , 低楼层 （25层）,1300 元/月,徐州
65,独栋·泊寓 淮海天地店 D1（东西） 开间,仅剩1间 , 34㎡,1间在租 , 1室0厅1卫,1650 元/月,徐州
66,整租·美的工润明湖 3室2厅 东南,鼓楼区, 110㎡,东南 , 低楼层 （10层）,2500 元/月,徐州
67,整租·春雨小区 2室1厅 南,泉山区, 72㎡,南 , 高楼层 （7层）,1100 元/月,徐州
68,整租·民富园小区(云龙区) 3室2厅 东南,云龙区, 95㎡,东南 , 中楼层 （6层）,1900 元/月,徐州
69,整租·华润橡树湾 3室2厅 南,云龙区, 97㎡,南 , 中楼层 （24层）,2500 元/月,徐州
70,整租·荣盛花语城东区 3室2厅 南,泉山区, 113㎡,南 , 高楼层 （33层）,1900 元/月,徐州
71,独栋·泊寓 新里程社区店 B户型 开间,仅剩3间 , 38㎡,3间在租 , 1室0厅1卫,1500-1789 元/月,徐州
72,整租·国基逸境 3室2厅 南,铜山区, 108㎡,南 , 中楼层 （11层）,2100 元/月,徐州
73,独栋·泊寓 新里程社区店 F户型 开间,仅剩2间 , 49㎡,2间在租 , 1室0厅1卫,2019-2039 元/月,徐州
74,整租·绿地香颂 3室2厅 南,新城区, 139㎡,南 , 高楼层 （22层）,2000 元/月,徐州
75,整租·绿地世纪城四期 3室2厅 南,云龙区, 87㎡,南 , 高楼层 （6层）,1800 元/月,徐州
76,整租·万科翡翠天地 3室2厅 南,泉山区, 115㎡,南 , 中楼层 （34层）,2500 元/月,徐州
77,整租·吴庄花园 1室1厅 南,泉山区, 45㎡,南 , 高楼层 （7层）,1000 元/月,徐州
78,整租·绿地世纪城七期 2室1厅 南,云龙区, 74㎡,南 , 中楼层 （20层）,1700 元/月,徐州
79,整租·春雨小区 2室1厅 南,泉山区, 78㎡,南 , 中楼层 （7层）,1300 元/月,徐州
80,整租·榴园小区 2室1厅 南,泉山区, 60㎡,南 , 高楼层 （6层）,850 元/月,徐州
81,独栋·泊寓 新里程社区店 B-1户型 开间,仅剩2间 , 36㎡,2间在租 , 1室0厅1卫,1779-1799 元/月,徐州
82,整租·新泉佳苑 2室2厅 南,泉山区, 84㎡,南 , 高楼层 （11层）,1500 元/月,徐州
83,独栋·泊寓 新里程社区店 E-3户型 开间,仅剩1间 , 32㎡,1间在租 , 1室0厅1卫,1659 元/月,徐州
84,整租·御水帝景城 2室1厅 南/北,丰县, 89㎡,南 北 , 高楼层 （15层）,1400 元/月,徐州
85,独栋·泊寓 新里程社区店 D-1户型 开间,仅剩2间 , 29㎡,2间在租 , 1室0厅1卫,1479-1499 元/月,徐州
86,整租·康乐园 2室1厅 南,铜山区, 78㎡,南 , 高楼层 （6层）,850 元/月,徐州
87,整租·城置国际花园城一期 4室2厅 西北,金山桥开发区, 135㎡,西北 , 低楼层 （18层）,2300 元/月,徐州
88,整租·津浦东园 2室2厅 南,云龙区, 94㎡,南 , 低楼层 （6层）,1700 元/月,徐州
89,整租·城置克拉公寓 1室0厅 南,金山桥开发区, 47㎡,南 , 中楼层 （12层）,1300 元/月,徐州
90,整租·公交宿舍 2室1厅 南/北,泉山区, 68㎡,南 北 , 高楼层 （7层）,1500 元/月,徐州
91,整租·海峡东南郡一期 3室2厅 南,泉山区, 114㎡,南 , 高楼层 （6层）,1900 元/月,徐州
92,整租·民和园 4室2厅 南,泉山区, 114㎡,南 , 高楼层 （6层）,1500 元/月,徐州
93,整租·恒大滨河左岸 3室2厅 南,泉山区, 124㎡,南 , 低楼层 （22层）,2550 元/月,徐州
94,整租·东贺安置小区B区 3室1厅 南,金山桥开发区, 100㎡,南 , 高楼层 （26层）,2100 元/月,徐州
95,整租·润金城一期 1室1厅 南,云龙区, 59㎡,南 , 中楼层 （15层）,2000 元/月,徐州
96,整租·宏利达银河湾 3室2厅 南/北,邳州市, 115㎡,南 北 , 低楼层 （18层）,1800 元/月,徐州
97,整租·泉盛美家 3室2厅 南,泉山区, 108㎡,南 , 高楼层 （32层）,1500 元/月,徐州
98,整租·绿地世纪城五期 1室1厅 北,云龙区, 44㎡,北 , 高楼层 （15层）,1400 元/月,徐州
99,整租·SOHO时代广场 1室1厅 西南,泉山区, 54㎡,西南 , 中楼层 （21层）,2200 元/月,徐州
100,整租·振兴工程小区 1室1厅 东/西,泉山区, 46㎡,东 西 , 高楼层 （6层）,900 元/月,徐州
101,整租·时尚小区 2室1厅 南/北,邳州市, 90㎡,南 北 , 中楼层 （7层）,1200 元/月,徐州
102,整租·锦萃家园 5室2厅 南/北,铜山区, 300㎡,南 北 , 低楼层 （2层）,3000 元/月,徐州
103,整租·温州商贸城B区 3室2厅 南,沛县, 113㎡,南 , 中楼层 （4层）,1600 元/月,徐州
104,整租·鑫苑景城 2室2厅 南,泉山区, 90㎡,南 , 高楼层 （33层）,2200 元/月,徐州
105,整租·欧庄161 2室2厅 南/北,泉山区, 77㎡,南 北 , 高楼层 （7层）,1700 元/月,徐州
106,整租·民康园(泉山区) 2室2厅 南,泉山区, 85㎡,南 , 高楼层 （6层）,1100 元/月,徐州
107,整租·汉城国际二期 3室1厅 南,沛县, 90㎡,南 , 中楼层 （28层）,1700 元/月,徐州
108,整租·书香华府 3室2厅 南/北,鼓楼区, 103㎡,南 北 , 中楼层 （27层）,2600 元/月,徐州
109,整租·万科淮海天地（八街区） 3室2厅 南,泉山区, 97㎡,南 , 中楼层 （34层）,2500 元/月,徐州
110,整租·万科淮海天地三街区 2室1厅 南,泉山区, 100㎡,南 , 中楼层 （17层）,3500 元/月,徐州
111,整租·民康园(泉山区) 2室2厅 南,泉山区, 80㎡,南 , 低楼层 （7层）,1500 元/月,徐州
112,整租·君临华府 3室2厅 南/北,邳州市, 130㎡,南 北 , 中楼层 （33层）,1500 元/月,徐州
113,整租·苏堤小区（泉山区） 2室2厅 南,泉山区, 97㎡,南 , 中楼层 （7层）,2300 元/月,徐州
114,整租·万科淮海天地三街区 2室1厅 南,泉山区, 100㎡,南 , 中楼层 （17层）,3500 元/月,徐州
115,合租·金洋紫金东郡 1居室 南卧,云龙区, 15㎡,南 , 中楼层 （18层）,1000 元/月,徐州
116,整租·万科新都会 3室2厅 南,铜山区, 93㎡,南 , 低楼层 （34层）,2500 元/月,徐州
117,整租·碧水湾 3室2厅 西南,泉山区, 103㎡,西南 , 低楼层 （6层）,1900 元/月,徐州
118,整租·西苑民乐园 2室1厅 南,泉山区, 53㎡,南 , 高楼层 （7层）,900 元/月,徐州
119,整租·翠湖御景 1室1厅 南,泉山区, 52㎡,南 , 低楼层 （20层）,2600 元/月,徐州
120,整租·湖滨西村 2室1厅 南/北,泉山区, 60㎡,南 北 , 中楼层 （7层）,1100 元/月,徐州
121,整租·书香华府 3室2厅 南,鼓楼区, 98㎡,南 , 中楼层 （28层）,1200 元/月,徐州
122,整租·万悦城 3室2厅 南/北,泉山区, 135㎡,南 北 , 低楼层 （7层）,1800 元/月,徐州
123,整租·梨园小区 2室1厅 南,泉山区, 68㎡,南 , 中楼层 （6层）,1400 元/月,徐州
124,整租·城置克拉公寓 1室0厅 东,金山桥开发区, 47㎡,东 , 中楼层 （12层）,1400 元/月,徐州
125,整租·宣武小区 2室1厅 南,云龙区, 52㎡,南 , 中楼层 （5层）,900 元/月,徐州
126,整租·豪绅嘉苑 3室2厅 南/西北,鼓楼区, 156㎡,南 西北 , 高楼层 （5层）,2400 元/月,徐州
127,整租·梅苑小区(泉山区) 2室1厅 南,泉山区, 46㎡,南 , 高楼层 （6层）,1200 元/月,徐州
128,整租·西苑民安园 3室2厅 南,泉山区, 83㎡,南 , 高楼层 （7层）,1200 元/月,徐州
129,整租·枫林天下一期 1室1厅 南,铜山区, 57㎡,南 , 高楼层 （15层）,1600 元/月,徐州
130,整租·海峡东南郡一期 2室2厅 南,泉山区, 90㎡,南 , 低楼层 （11层）,800 元/月,徐州
131,整租·日成奥运城小区 2室2厅 南,云龙区, 90㎡,南 , 高楼层 （6层）,1650 元/月,徐州
132,整租·万科淮海天地二街区 2室1厅 东,泉山区, 62㎡,东 , 中楼层 （29层）,2000 元/月,徐州
133,整租·泉盛美家 2室2厅 南/北,泉山区, 91㎡,南 北 , 低楼层 （27层）,1300 元/月,徐州
134,整租·玉泉雅筑 1室1厅 南,铜山区, 15㎡,南 , 低楼层 （34层）,700 元/月,徐州
135,整租·荣盛城三期 3室2厅 南,泉山区, 113㎡,南 , 低楼层 （34层）,1300 元/月,徐州
136,整租·怡康花园 2室2厅 南/北,鼓楼区, 83㎡,南 北 , 高楼层 （11层）,1950 元/月,徐州
137,整租·纺织小区 2室1厅 南,泉山区, 55㎡,南 , 低楼层 （6层）,1500 元/月,徐州
138,整租·翡翠杏山 3室1厅 南,泉山区, 115㎡,南 , 高楼层 （18层）,1700 元/月,徐州
139,整租·万科淮海天地四街区 3室2厅 南,泉山区, 113㎡,南 , 高楼层 （33层）,3200 元/月,徐州
140,整租·天赋广场 1室1厅 南,铜山区, 57㎡,南 , 中楼层 （29层）,1600 元/月,徐州
141,整租·公交宿舍 2室1厅 南,鼓楼区, 67㎡,南 , 高楼层 （7层）,800 元/月,徐州
142,整租·纺南小区 2室1厅 南,泉山区, 60㎡,南 , 中楼层 （7层）,1000 元/月,徐州
143,整租·美的公园天下 3室2厅 南,泉山区, 100㎡,南 , 中楼层 （34层）,1600 元/月,徐州
144,整租·绿地世纪城五期 2室1厅 南,云龙区, 71㎡,南 , 高楼层 （15层）,2000 元/月,徐州
145,整租·国基逸境 3室2厅 南/北,铜山区, 107㎡,南 北 , 低楼层 （6层）,2000 元/月,徐州
146,整租·万通佳苑 3室2厅 南,泉山区, 138㎡,南 , 低楼层 （11层）,2600 元/月,徐州
147,整租·天山绿洲四期 2室2厅 南,泉山区, 100㎡,南 , 高楼层 （17层）,2300 元/月,徐州
148,整租·御水帝景城 2室1厅 南/北,丰县, 89㎡,南 北 , 高楼层 （15层）,1400 元/月,徐州
149,整租·西苑民乐园 2室1厅 南,泉山区, 66㎡,南 , 低楼层 （7层）,1200 元/月,徐州
150,整租·金龙湖广场 1室1厅 南,云龙区, 50㎡,南 , 中楼层 （24层）,1900 元/月,徐州
151,整租·叶语田园 2室2厅 南,泉山区, 96㎡,南 , 低楼层 （10层）,750 元/月,徐州
152,整租·华润置地崐崘御 3室2厅 南,泉山区, 115㎡,南 , 高楼层 （23层）,1300 元/月,徐州
153,整租·苏商御景湾 1室0厅 北,泉山区, 189㎡,北 , 低楼层 （11层）,12000 元/月,徐州
154,整租·和信广场 1室1厅 南,鼓楼区, 64㎡,南 , 中楼层 （19层）,2200 元/月,徐州
155,整租·鼎瑞雅居 2室1厅 南,泉山区, 90㎡,南 , 高楼层 （18层）,1600 元/月,徐州
156,合租·南洋国际 3居室 北卧,铜山区, 10㎡,北 , 中楼层 （25层）,500 元/月,徐州
157,整租·荣盛花语城东区 3室2厅 南,泉山区, 124㎡,南 , 低楼层 （33层）,2300 元/月,徐州
158,整租·文亭街 1室1厅 南,泉山区, 27㎡,南 , 高楼层 （8层）,600 元/月,徐州
159,整租·怡和公寓(泉山区) 2室2厅 南,泉山区, 85㎡,南 , 低楼层 （7层）,1800 元/月,徐州
160,整租·荣盛城一期 3室2厅 南,泉山区, 104㎡,南 , 高楼层 （28层）,1800 元/月,徐州
161,整租·苏宁尊悦府邸 5室2厅 南,鼓楼区, 241㎡,南 , 中楼层 （30层）,12000 元/月,徐州
162,整租·荣盛城一期 3室2厅 南/北,泉山区, 135㎡,南 北 , 中楼层 （34层）,2000 元/月,徐州
163,整租·吴庄花园 3室2厅 南,泉山区, 100㎡,南 , 中楼层 （7层）,2700 元/月,徐州
164,整租·国基城邦 3室2厅 南,铜山区, 90㎡,南 , 中楼层 （18层）,2350 元/月,徐州
165,整租·纺南小区 2室1厅 南,泉山区, 55㎡,南 , 中楼层 （7层）,1000 元/月,徐州
166,整租·顺河南小区 1室1厅 南,云龙区, 30㎡,南 , 低楼层 （9层）,1000 元/月,徐州
167,整租·湖滨西村 1室1厅 南,泉山区, 34㎡,南 , 高楼层 （7层）,800 元/月,徐州
168,整租·华润置地崐崘御 3室2厅 南,泉山区, 96㎡,南 , 中楼层 （23层）,1000 元/月,徐州
169,整租·民康园(泉山区) 3室2厅 南,泉山区, 90㎡,南 , 高楼层 （7层）,1100 元/月,徐州
170,整租·关庄 3室1厅 南,泉山区, 80㎡,南 , 高楼层 （6层）,1300 元/月,徐州
171,整租·翡翠城 2室2厅 南/北,泉山区, 98㎡,南 北 , 高楼层 （18层）,2000 元/月,徐州
172,整租·段南新村(段南路) 2室1厅 南,泉山区, 80㎡,南 , 高楼层 （5层）,1200 元/月,徐州
173,整租·万达华府 3室2厅 南,铜山区, 101㎡,南 , 高楼层 （31层）,3400 元/月,徐州
174,整租·荣盛城三期 3室2厅 南,泉山区, 114㎡,南 , 高楼层 （32层）,1800 元/月,徐州
175,整租·西阁街农贸市场综合楼 1室1厅 南/北,鼓楼区, 40㎡,南 北 , 中楼层 （7层）,900 元/月,徐州
176,整租·阿尔卡迪亚B区 3室2厅 南,泉山区, 122㎡,南 , 低楼层 （18层）,3250 元/月,徐州
177,整租·恒大滨河左岸 3室2厅 南,泉山区, 91㎡,南 , 中楼层 （22层）,3000 元/月,徐州
178,整租·华盛景园 3室1厅 南,泉山区, 106㎡,南 , 低楼层 （27层）,800 元/月,徐州
179,整租·中锐星尚城 3室1厅 南,新城区, 127㎡,南 , 中楼层 （6层）,2800 元/月,徐州
180,整租·温州商贸城A区 2室2厅 南,沛县, 110㎡,南 , 中楼层 （4层）,1100 元/月,徐州
181,整租·万科淮海天地三街区 1室1厅 南,泉山区, 50㎡,南 , 高楼层 （17层）,1800 元/月,徐州
182,整租·荣盛城三期 2室2厅 南,泉山区, 88㎡,南 , 中楼层 （29层）,1300 元/月,徐州
183,整租·中枢小区 2室1厅 南,泉山区, 75㎡,南 , 高楼层 （7层）,1200 元/月,徐州
184,整租·万科淮海天地二街区 1室0厅 南,泉山区, 45㎡,南 , 低楼层 （29层）,1600 元/月,徐州
185,整租·鑫苑景园 4室2厅 南,泉山区, 125㎡,南 , 中楼层 （23层）,2500 元/月,徐州
186,整租·吴庄花园 2室1厅 南,泉山区, 60㎡,南 , 中楼层 （7层）,1300 元/月,徐州
187,整租·鑫湖花园 2室1厅 南,泉山区, 48㎡,南 , 高楼层 （7层）,700 元/月,徐州
188,整租·鑫苑景城 2室1厅 南,泉山区, 89㎡,南 , 低楼层 （33层）,2600 元/月,徐州
189,整租·民主小区 3室2厅 南,鼓楼区, 130㎡,南 , 高楼层 （33层）,3400 元/月,徐州
190,整租·荣盛城一期 3室2厅 南/北,泉山区, 103㎡,南 北 , 中楼层 （34层）,2000 元/月,徐州
191,合租·天山绿洲二期 1居室 南卧,泉山区, 30㎡,南 , 低楼层 （17层）,1600 元/月,徐州
192,整租·万科淮海天地二街区 2室1厅 南,泉山区, 76㎡,南 , 中楼层 （29层）,2500 元/月,徐州
