,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
297,北京鸿盈信息技术有限公司,360,2000人以上,上市公司,天河区,web前端开发工程师,1-3年,本科,12k-20k,成熟型业务用户量大，牛人多，福利好，氛围好,"工具类产品,信息检索,信息安全",开发|测试|运维类,"专项奖金,年底双薪",前端开发,广州
298,TCL实业控股股份有限公司,TCL,2000人以上,上市公司,南山区,Web安全工程师,3-5年,本科,15k-30k,TCL智能终端全场景、团队扩展期,"制造业,智能硬件",开发|测试|运维类,"年底双薪,带薪年假,定期体检,绩效奖金",运维,深圳
299,深圳市长亮科技股份有限公司,长亮科技,2000人以上,上市公司,南山区,web前端开发工程师,5-10年,本科,15k-25k,VUE H5,人工智能服务,开发|测试|运维类,"五险一金,通讯津贴,带薪年假,定期体检",前端开发,深圳
300,上海纳纳科技有限公司,纳纳科技,50-150人,不需要融资,虹口区,web前端开发工程师,1-3年,本科,15k-26k,平台好 业务稳 福利多 成长快 氛围佳,软件服务｜咨询,开发|测试|运维类,"年底双薪,专项奖金,交通补助,定期体检",前端开发,上海
301,上海倾听信息技术有限公司,蜻蜓FM,150-500人,D轮及以上,浦东新区,web前端开发工程师,1-3年,不限,12k-18k,发展空间大,音频｜视频媒体,开发|测试|运维类,"明星直播,男女1:1,带薪年假,扁平管理",前端开发,上海
302,上海尼好系统集成有限公司,尼好ICT智慧社区,15-50人,未融资,青浦区,web前端开发工程师,1-3年,不限,10k-15k,节假日福利 五险一金 生日福利 技术大牛,网络通信,开发|测试|运维类,"绩效奖金,带薪年假,定期体检,弹性工作",前端开发,上海
303,北京卓维智软科技有限公司,卓维智软,150-500人,未融资,海淀区,web前端开发工程师,3-5年,本科,12k-18k,团队年轻 有人带 气氛活跃,IT技术服务｜咨询,开发|测试|运维类,,前端开发,北京
304,深圳市太和物联信息技术有限公司,太和物联,50-150人,不需要融资,南山区,web前端开发工程师,3-5年,大专,12k-20k,节日福利 年终奖 周末双休 五险一金 等,"软件服务｜咨询,IT技术服务｜咨询,物联网",开发|测试|运维类,"节日礼物,年底双薪,健康体检,岗位晋升",前端开发,深圳
305,深圳市枫叶软件开发有限公司,枫叶软件,15-50人,未融资,龙岗区,资深web前端开发工程师,3-5年,本科,15k-25k,"五险一金,年底双薪,各种福利，发展大平台","旅游｜出行,IT技术服务｜咨询",开发|测试|运维类,"年底双薪,专项奖金,带薪年假,绩效奖金",前端开发,深圳
306,深圳市枫叶软件开发有限公司,枫叶软件,15-50人,未融资,龙岗区,web前端开发工程师,不限,本科,8k-10k,"五险一金,年底双薪,各种福利，发展大平台","旅游｜出行,IT技术服务｜咨询",开发|测试|运维类,"年底双薪,专项奖金,带薪年假,绩效奖金",前端开发,深圳
307,北京百分点科技集团股份有限公司,百分点,500-2000人,D轮及以上,洪山区,Web前端开发工程师,3-5年,本科,10k-20k,大数据平台、福利齐全、技术牛人,"数据服务｜咨询,人工智能服务",开发|测试|运维类,"节日礼物,定期体检,通讯津贴,五险一金",前端开发,武汉
308,广州芦苇信息科技有限公司,芦苇科技,50-150人,不需要融资,天河区,web前端开发工程师,1-3年,本科,7k-12k,技术分享、带薪假期、晋升机会、年终奖,IT技术服务｜咨询,开发|测试|运维类,"股票期权,年终分红,带薪年假,专项奖金",前端开发,广州
309,深圳市六度人和科技有限公司,EC,150-500人,C轮,南山区,web前端中高级工程师,3-5年,本科,15k-25k,腾讯系公司，扁平化管理,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"节日礼物,年底双薪,技能培训,绩效奖金",前端开发,深圳
310,上海微创软件股份有限公司,微创软件,2000人以上,不需要融资,南山区,Web前端开发工程师,1-3年,大专,10k-15k,弹性办公 大平台,IT技术服务｜咨询,开发|测试|运维类,"绩效奖金,带薪年假,定期体检,弹性工作",前端开发,深圳
311,南昌同凯网络信息服务有限公司,南昌同凯,150-500人,未融资,东湖区,web前端工程师,1-3年,本科,7k-12k,双休、五险一金、朝九晚五、年终奖,在线教育,开发|测试|运维类,,前端开发,南昌
312,云势天下（北京）软件有限公司,云势软件,150-500人,B轮,朝阳区,web前端工程师,3-5年,本科,18k-30k,"企业软件,外企环境,六险一金,简单自主",信息安全,开发|测试|运维类,"年底双薪,专项奖金,绩效奖金,带薪年假",移动前端开发,北京
313,山东莱数信息科技有限公司,莱数信息,15-50人,不需要融资,市中区,web前端工程师,1-3年,本科,8k-12k,共同拼搏、共战未来,"软件开发,人工智能",开发|测试|运维类,,前端开发,济南
314,山东莱数信息科技有限公司,莱数信息,15-50人,不需要融资,市中区,web前端高级开发工程师,3-5年,本科,10k-15k,年轻团队、共同拼搏、共战未来,"软件开发,人工智能",开发|测试|运维类,,前端开发,济南
315,深圳市盛达瑞智能科技有限公司,深圳市盛达瑞智能科技有限公司,150-500人,不需要融资,南山区,web前端主管,5-10年,本科,20k-25k,五险一金、周末双休、带薪年假、月度团建,人工智能服务,开发|测试|运维类,"绩效奖金,带薪年假,五险一金,年终奖金",移动前端开发,深圳
316,丰疆智能（深圳）有限公司,丰疆智能,150-500人,A轮,秦淮区,【南京】Web前端开发工程师,3-5年,本科,12k-18k,五险一金，扁平管理，弹性工作，发展空间大,智能硬件,开发|测试|运维类,,移动前端开发,南京
317,深圳铭镜科技有限公司,铭镜科技,15-50人,天使轮,南山区,web平台开发工程师,不限,本科,10k-15k,年度双薪、股权激励、带薪年假、不定期旅游,游戏,开发|测试|运维类,"年底双薪,股票期权,带薪年假,年终分红",后端开发,深圳
318,打扮家（北京）科技有限公司,打扮家,150-500人,B轮,石景山区,web前端开发工程师,3-5年,本科,15k-25k,行业前景 发展空间 薪资福利,软件服务｜咨询,开发|测试|运维类,"VR,定期体检,午餐补助,年底双薪",前端开发,北京
319,四众互联（北京）网络科技有限公司,四众互联,15-50人,不需要融资,丰台区,web前端工程师,1-3年,本科,10k-20k,五险一金、补充医疗、上市背景,生活服务,开发|测试|运维类,"带薪年假,定期体检,弹性工作,领导好",前端开发,北京
320,丰疆智能（深圳）有限公司,丰疆智能,150-500人,A轮,南山区,中高级web前端开发工程师,5-10年,本科,20k-40k,周末双休,智能硬件,开发|测试|运维类,,前端开发,深圳
321,新奥特(北京)视频技术有限公司,新奥特视频,500-2000人,上市公司,海淀区,Web前端高级研发工程师,3-5年,本科,18k-30k,六险一金、午餐补助、带薪年假、节假日福利,"新媒体,软件服务｜咨询",开发|测试|运维类,"技能培训,年底双薪,节日礼物,绩效奖金",前端开发,北京
322,寻伙（安徽）科技有限公司,寻伙科技,50-150人,未融资,经济技术开发区,高薪诚聘web前端工程师/主管,3-5年,本科,10k-15k,百人团队,"工具类产品,软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,,前端开发,合肥
