,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
152,北京读我科技有限公司,伴鱼,2000人以上,C轮,海淀区,iOS开发工程师,3-5年,本科,25k-50k,福利好、产品棒、空间大,在线教育,开发|测试|运维类,"带薪年假,交通补助,五险一金,住宿补贴",移动前端开发,北京
153,湖北盛天网络技术股份有限公司,盛天网络,500-2000人,上市公司,东湖新技术开发区,ios开发工程师,3-5年,本科,10k-15k,福利好 发展快,游戏,开发|测试|运维类,"专项奖金,五险一金,通讯津贴,交通补助",移动前端开发,武汉
154,上海掌小门教育科技有限公司,掌门教育,2000人以上,D轮及以上,虹口区,ios开发工程师,3-5年,本科,20k-30k,晋升空间大；14薪,在线教育,开发|测试|运维类,"技能培训,节日礼物,绩效奖金,岗位晋升",移动前端开发,上海
155,上海懒人易健科技有限公司,懒人科技,50-150人,不需要融资,福田区,ios开发工程师,1-3年,本科,10k-16k,朝阳行业,移动互联网,开发|测试|运维类,,移动前端开发,深圳
156,陕西康德曼信息技术有限公司,康德曼,50-150人,未融资,高新区,ios开发工程师,3-5年,本科,15k-20k,上市公司 股权激励 工作氛围好,智能硬件,开发|测试|运维类,,移动前端开发,成都
157,北京快乐茄信息技术有限公司,茄子快传,150-500人,B轮,海淀区,高级ios开发工程师,3-5年,本科,30k-50k,海外市场 短视频,软件服务｜咨询,开发|测试|运维类,"技能培训,领导好,美女多,帅哥多",移动前端开发,北京
158,成都乐劲科技有限责任公司,乐劲科技,50-150人,B轮,武侯区,IOS开发工程师,3-5年,本科,15k-25k,国际化团队 发展快 千万级用户app,社交平台,开发|测试|运维类,"股票期权,带薪年假,节日礼物,美女多",移动前端开发,成都
159,北京车之家信息技术有限公司,汽车之家,2000人以上,上市公司,海淀区,ios开发工程师,5-10年,本科,25k-35k,16薪 八险一金 办公环境好 带薪年假多,内容资讯,开发|测试|运维类,"技能培训,节日礼物,带薪年假,绩效奖金",移动前端开发,北京
160,深圳优依购互娱科技有限公司,辉耀互娱,150-500人,A轮,南山区,IOS开发工程师,不限,大专,15k-30k,"游戏行业,周末双休,带薪年假,年度旅游",游戏,开发|测试|运维类,"年底双薪,带薪年假,绩效奖金,岗位晋升",移动前端开发,深圳
161,北京猿印教育科技有限公司,猿印教育,50-150人,A轮,海淀区,iOS高级开发工程师,3-5年,本科,30k-50k,福利待遇好，上升空间大,在线教育,开发|测试|运维类,"股票期权,交通补助,弹性工作,节日礼物",移动前端开发,北京
162,深圳海康威视城市服务运营有限公司,海康威视城市服务运营,15-50人,未融资,南山区,ios开发工程师,3-5年,本科,15k-20k,有海康威视背景做支撑，发展前景良好！,"数据服务｜咨询,物联网",开发|测试|运维类,,移动前端开发,深圳
