,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
30,亚创（上海）工程技术有限公司,Altran （亚创）,2000人以上,上市公司,长宁区,python开发,1-3年,本科,10k-15k,六险一金,专业服务｜咨询,开发|测试|运维类,"年底双薪,专项奖金,带薪年假,绩效奖金",后端开发,上海
31,哈里伯顿（中国）能源服务有限公司,哈里伯顿中国,2000人以上,上市公司,朝阳区,python工程师,1-3年,本科,12k-18k,外企；补充医疗保险; 试用期全额；全额公积金,软件服务｜咨询,开发|测试|运维类,"午餐补助,带薪年假,定期体检,领导好",后端开发,北京
32,广州市派客朴食信息科技有限责任公司,派客朴食,50-150人,不需要融资,海珠区,python开发工程师,1-3年,大专,8k-15k,团队出游、节假日福利等,"移动互联网,电商",开发|测试|运维类,,后端开发,广州
33,深信服科技股份有限公司,深信服科技集团,2000人以上,上市公司,西城区,Python开发工程师,3-5年,本科,20k-40k,大牛多、福利好、晋升快,"人工智能服务,信息安全",开发|测试|运维类,"三餐全包,大牛超多,年终奖超多,大公司，稳定",后端开发,北京
34,深信服科技股份有限公司,深信服科技集团,2000人以上,上市公司,南山区,Python开发工程师,3-5年,本科,18k-35k,大牛多、福利好、晋升快,"人工智能服务,信息安全",开发|测试|运维类,"三餐全包,大牛超多,年终奖超多,大公司，稳定",后端开发,深圳
35,北京嘉和美康信息技术有限公司,嘉和美康,500-2000人,D轮及以上,东城区,python开发工程师,3-5年,本科,15k-20k,医疗大数据 前沿技术 大咖云集 升职加薪,软件服务｜咨询,开发|测试|运维类,"管理人性化,培训全面化,晋升机会多,技术大牛多",后端开发,北京
36,威讯柏睿数据科技（北京）有限公司,柏睿数据,50-150人,C轮,洪山区,Python开发工程师,不限,本科,10k-20k,大数据 多绩效,数据服务｜咨询,开发|测试|运维类,"股票期权,专项奖金,带薪年假,弹性工作",后端开发,武汉
37,广州嘉为科技有限公司,嘉为科技,500-2000人,A轮,福田区,python开发工程师,1-3年,本科,10k-16k,带薪年假 晋升体系餐补 通讯补贴 季度调薪,"企业服务,数据服务",开发|测试|运维类,,后端开发,深圳
38,广州嘉为科技有限公司,嘉为科技,500-2000人,A轮,海淀区,python开发工程师,1-3年,本科,12k-18k,带薪年假 晋升体系餐补 通讯补贴 季度调薪,"企业服务,数据服务",开发|测试|运维类,,后端开发,北京
39,北京香侬慧语科技有限责任公司,香侬科技,50-150人,A轮,海淀区,python开发工程师,不限,本科,15k-30k,创业公司，专注做事,"人工智能服务,金融业",开发|测试|运维类,"股票期权,专项奖金,绩效奖金,年终分红",后端开发,北京
