,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
193,北银金融科技有限责任公司,北银科技,150-500人,不需要融资,海淀区,Java开发工程师,3-5年,本科,15k-30k,福利待遇好，技术大牛带队，有上升空间,"人工智能服务,IT技术服务｜咨询",开发|测试|运维类,,后端开发,北京
194,用友网络科技股份有限公司,用友,2000人以上,上市公司,海淀区,高级Java开发工程师,5-10年,本科,18k-25k,企业级项目，初期,软件服务｜咨询,开发|测试|运维类,"技能培训,岗位晋升,扁平管理,管理规范",后端开发,北京
195,用友网络科技股份有限公司,用友,2000人以上,上市公司,海淀区,java开发工程师,3-5年,本科,17k-24k,核心部门，初期,软件服务｜咨询,开发|测试|运维类,"技能培训,岗位晋升,扁平管理,管理规范",后端开发,北京
196,北京嘉和美康信息技术有限公司,嘉和美康,500-2000人,D轮及以上,东城区,java开发工程师,3-5年,本科,15k-20k,五险一金 补充医疗 技术大咖 医疗大数据,软件服务｜咨询,开发|测试|运维类,"管理人性化,培训全面化,晋升机会多,技术大牛多",后端开发,北京
197,杉数科技（北京）有限公司,杉数科技,50-150人,B轮,东城区,Java开发工程师,3-5年,本科,15k-30k,优质团队 六险一金 周末双休 氛围轻松,"数据服务｜咨询,人工智能服务",开发|测试|运维类,"带薪年假,午餐补助,弹性工作,年度旅游",后端开发,北京
198,北京缔联科技有限公司,缔联科技,50-150人,B轮,海淀区,java开发工程师,3-5年,本科,15k-18k,扁平化管理，下午茶零食，六险一金……,软件服务｜咨询,开发|测试|运维类,"年底双薪,节日礼物,年度旅游,岗位晋升",后端开发,北京
199,上海微创软件股份有限公司,微创软件,2000人以上,不需要融资,浦东新区,java开发工程师,3-5年,大专,17k-25k,六险一金、大平台、双休,IT技术服务｜咨询,开发|测试|运维类,"绩效奖金,带薪年假,定期体检,弹性工作",后端开发,上海
200,深圳市范特西科技有限公司,范特西,150-500人,上市公司,南山区,java开发工程师,1-3年,大专,12k-20k,上市公司、福利待遇好、氛围好、周末双休,游戏,开发|测试|运维类,"技能培训,年底双薪,节日礼物,绩效奖金",后端开发,深圳
201,无限遨游（武汉）科技有限公司,无限遨游,50-150人,不需要融资,东湖新技术开发区,java开发工程师,3-5年,本科,8k-15k,高成长 核心业务板块,"人工智能,物联网",开发|测试|运维类,"股票期权,绩效奖金,带薪年假,年终分红",后端开发,武汉
202,北京睿象科技有限公司,oneasp,150-500人,上市公司,海淀区,java开发工程师,5-10年,本科,20k-35k,五险一金、定期体检、年终奖、带薪年假,"信息安全,企业服务",开发|测试|运维类,,后端开发,北京
203,钛马信息网络技术有限公司,钛马车联网,150-500人,B轮,徐汇区,java开发工程师,5-10年,本科,15k-20k,车辆网，互联网,"IT技术服务｜咨询,软件服务｜咨询",开发|测试|运维类,"技能培训,节日礼物,互联网汽车,绩效奖金",后端开发,上海
204,北京翼辉信息技术有限公司,翼辉信息,50-150人,A轮,高新技术产业开发区,高级java开发工程师,不限,本科,15k-25k,温馨团队、零食无限、办公环境宽敞明亮,IT技术服务｜咨询,开发|测试|运维类,"高新技术企业,技术性团队,中国制造,节日礼物",后端开发,西安
205,联奕科技股份有限公司,联奕科技,500-2000人,上市公司,天河区,高级java开发工程师,5-10年,本科,12k-18k,五险一金、集体旅游、团队活动、定期体检,"教育,企业服务",开发|测试|运维类,"定期体检,绩效奖金,带薪年假,节日礼物",后端开发,广州
206,上海积梦智能科技有限公司,积梦智能,15-50人,天使轮,徐汇区,java开发工程师,3-5年,不限,12k-24k,"技术驱动,大牛带飞,团队氛围,成长空间",企业服务,开发|测试|运维类,"年底双薪,绩效奖金,定期体检,午餐补助",后端开发,上海
207,上海金亥通信设备有限公司,上海金亥,50-150人,不需要融资,浦东新区,java开发工程师,5-10年,本科,18k-22k,13薪，班车，培训机会,网络通信,开发|测试|运维类,"定期体检,带薪年假,年底双薪,免费班车",后端开发,上海
208,蓝鸽集团有限公司,蓝鸽集团,500-2000人,不需要融资,白云区,java工程师,不限,本科,9k-15k,待遇好，职位晋升空间大,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"专项奖金,加班费,两房一厅公寓,博士后工作站",后端开发,广州
209,医声医事（北京）科技有限公司,医声医事,50-150人,A轮,海淀区,java开发工程师,3-5年,本科,15k-30k,带薪年假 地铁周边 领导nice 发展前景好,软件服务｜咨询,开发|测试|运维类,"岗位晋升,五险一金,带薪年假,年底奖金",后端开发,北京
210,联奕科技股份有限公司,联奕科技,500-2000人,上市公司,天河区,java开发工程师,1-3年,本科,6k-10k,上市公司，五险一金,"教育,企业服务",开发|测试|运维类,"定期体检,绩效奖金,带薪年假,节日礼物",后端开发,广州
211,联奕科技股份有限公司,联奕科技,500-2000人,上市公司,天河区,java高级开发工程师,3-5年,本科,10k-13k,上市公司，五险一金,"教育,企业服务",开发|测试|运维类,"定期体检,绩效奖金,带薪年假,节日礼物",后端开发,广州
212,深圳市法本信息技术股份有限公司,法本信息,2000人以上,上市公司,福田区,java开发工程师,3-5年,大专,11k-18k,周末双休 节假日不补班 团队氛围好,"人工智能服务,IT技术服务｜咨询",开发|测试|运维类,,后端开发,深圳
