,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
22,广东金沣信息科技有限公司,金沣科技,50-150人,未融资,东莞市,运维工程师,1-3年,本科,4k-5k,软件安装，测试,软件服务｜咨询,开发|测试|运维类,,运维,东莞
23,海深智能科技（上海）有限公司,海深科技,15-50人,B轮,浦东新区,运维开发工程师,1-3年,本科,14k-20k,年终多薪 项目奖金 期权奖励 团队优秀,人工智能服务,开发|测试|运维类,"年底双薪,绩效奖金,定期体检,年度旅游",运维,上海
24,深圳市华云中盛科技股份有限公司,华云中盛,500-2000人,不需要融资,罗湖区,系统运维工程师,3-5年,大专,10k-15k,一对一培养 准上市公司,"数据服务｜咨询,人工智能服务",开发|测试|运维类,"绩效奖金,带薪年假,通讯津贴,定期体检",运维,深圳
25,上海沃点网络科技有限公司,沃点网络,150-500人,B轮,浦东新区,运维开发工程师,3-5年,本科,18k-28k,做五休二 ，工作稳定，待遇优渥，氛围轻松,"IT技术服务｜咨询,网络通信",开发|测试|运维类,"年底双薪,交通补助,午餐补助,带薪年假",运维,上海
26,深圳市必提学院教育科技有限公司,BT学院,150-500人,不需要融资,宝安区,运维工程师,1-3年,本科,10k-20k,"核心成员,五险一金,带薪年假,下午茶,团建",在线教育,开发|测试|运维类,"专项奖金,绩效奖金,氛围好,老板好",运维,深圳
27,北京数字政通科技股份有限公司武汉分公司,武汉政通,500-2000人,上市公司,东湖新技术开发区,运维开发工程师,不限,硕士,14k-20k,六险一金 （公积金12%） 各种补助 节假日福利,"人工智能服务,物联网",开发|测试|运维类,"技能培训,年底双薪,节日礼物,休假灵活",运维,武汉
28,柏美迪康环境科技（上海）股份有限公司,柏美迪康上海,150-500人,上市公司,武安市,系统运维工程师,不限,大专,8k-12k,智慧环保前景广,能源｜矿产｜环保,开发|测试|运维类,"专精特新企业,大数据云计算,五险一金,年终奖金",运维,邯郸
29,上海谱时昊唯数据科技有限公司,谱时昊唯数据,少于15人,天使轮,武侯区,运维工程师,3-5年,本科,15k-25k,前沿技术，发展空间大，领导nice，待遇丰厚,人工智能,开发|测试|运维类,,运维,成都
30,上海谱时昊唯数据科技有限公司,谱时昊唯数据,少于15人,天使轮,徐汇区,运维工程师,1-3年,本科,15k-25k,待遇丰厚，前沿技术，发展空间大，领导nice，,人工智能,开发|测试|运维类,,运维,上海
31,深圳市一页科技有限公司,一页科技,500-2000人,未融资,南山区,运维工程师,1-3年,本科,9k-13k,五险一金，双休,IT技术服务｜咨询,开发|测试|运维类,"专项奖金,带薪年假,弹性工作,年底双薪",运维,深圳
32,中付（深圳）技术服务有限公司,中付技术,15-50人,不需要融资,南山区,系统运维工程师,3-5年,本科,10k-15k,五险一金 周末双休 扁平管理 气氛轻松,IT技术服务｜咨询,开发|测试|运维类,"五险一金,节日礼物",运维,深圳
33,深圳酷宅科技有限公司,酷宅,50-150人,天使轮,南山区,运维工程师,1-3年,本科,8k-12k,"周末双休,节日福利,绩效奖金,带薪年假","IT技术服务｜咨询,智能硬件",开发|测试|运维类,"技能培训,节日礼物,股票期权,带薪年假",运维,深圳
34,广州青鹿教育科技有限公司,青鹿教育,150-500人,不需要融资,黄埔区,运维工程师,1-3年,本科,10k-15k,五险一金，美味中晚餐，下午茶，健身房,在线教育,开发|测试|运维类,"周末双休,五险一金,年终分红,免费工作餐",运维,广州
35,深圳复临信息科技有限公司,ONES,150-500人,B轮,南山区,运维工程师,1-3年,本科,10k-20k,导师制 周末双休 年度体检 下午茶,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"定期体检,周末双休,年度旅游,岗位晋升",运维,深圳
36,陕西康德曼信息技术有限公司,康德曼,50-150人,未融资,徐汇区,系统运维工程师,1-3年,本科,10k-16k,上市公司 国企 不加班 福利待遇好,智能硬件,开发|测试|运维类,,运维,上海
37,上海阿法迪智能数字科技股份有限公司,上海阿法迪智能数字科...,150-500人,D轮及以上,徐汇区,运维工程师,1-3年,本科,10k-20k,高大上的团队 优异的职业发展通道,人工智能服务,开发|测试|运维类,"年底双薪,股票期权,带薪年假,通讯津贴",运维,上海
38,深圳金蝶账无忧网络科技有限公司,金蝶账无忧,50-150人,不需要融资,南山区,运维工程师,3-5年,本科,12k-16k,全面提升自动化智能化运维能力,企业服务,开发|测试|运维类,"带薪年假,通讯津贴,定期体检,领导好",运维,深圳
39,新原子（深圳）科技有限公司,Atom intl,15-50人,未融资,福田区,运维工程师,3-5年,本科,15k-25k,带薪年假，晋升空间大，公司氛围好,IT技术服务｜咨询,开发|测试|运维类,"带薪年假,交通补助,绩效奖金,晋升空间大",运维,深圳
40,新原子（深圳）科技有限公司,Atom intl,15-50人,未融资,南山区,高级运维工程师,5-10年,本科,20k-40k,带薪年假，晋升空间大，公司氛围好,IT技术服务｜咨询,开发|测试|运维类,"带薪年假,交通补助,绩效奖金,晋升空间大",运维,深圳
41,宁波中茂网络科技有限公司杭州分公司,宁波中茂网络科技有限公司杭州分公司,150-500人,不需要融资,拱墅区,运维工程师,3-5年,大专,8k-15k,发展前景，稳定性高,"软件服务｜咨询,营销服务｜咨询",开发|测试|运维类,,运维,杭州
42,北京致远互联软件股份有限公司,致远互联,500-2000人,上市公司,高新区,运维工程师,3-5年,本科,15k-25k,"牛人多,平台大,氛围好",软件服务｜咨询,开发|测试|运维类,"五险一金,股票期权,绩效奖金,专项奖金",运维,成都
43,成都大淘客科技有限公司,大淘客,150-500人,不需要融资,高新区,运维开发工程师（可年后入职）,3-5年,大专,10k-15k,"年终奖，,五险一金,带薪年假",电商平台,开发|测试|运维类,"午餐补助,交通补助,零食架,节日福利",运维,成都
44,爱笔（北京）智能科技有限公司,Aibee,500-2000人,A轮,海淀区,大数据运维工程师,3-5年,不限,15k-30k,人工智能 上升空间 弹性工作制 薪酬激励计划,人工智能服务,开发|测试|运维类,"国际化团队,计算机视觉,语音识别,自然语言理解",运维,北京
45,爱笔（北京）智能科技有限公司,Aibee,500-2000人,A轮,海淀区,运维工程师,不限,不限,15k-30k,人工智能 上升空间 弹性工作制 薪酬激励计划,人工智能服务,开发|测试|运维类,"国际化团队,计算机视觉,语音识别,自然语言理解",运维,北京
