,title,district,area,orient,floor,price,city
2164,整租·康家大院 2室1厅 南/北,西固区, 60㎡,南 北 , 低楼层 （9层）,1200 元/月,兰州
2165,整租·曦华源 1室1厅 南,七里河区, 46㎡,南 , 中楼层 （20层）,2000 元/月,兰州
2166,整租·南滨河中路119号 3室1厅 南,七里河区, 90㎡,南 , 低楼层 （8层）,2000 元/月,兰州
2167,整租·天润嘉园 2室1厅 北,七里河区, 90㎡,北 , 中楼层 （24层）,2300 元/月,兰州
2168,整租·雁滩安居小区 2室0厅 南,城关区, 55㎡,南 , 低楼层 （8层）,2600 元/月,兰州
2169,整租·百郦湾 4室2厅 南/北,七里河区, 150㎡,南 北 , 低楼层 （32层）,2600 元/月,兰州
2170,整租·银静花园 2室1厅 南,城关区, 70㎡,南 , 中楼层 （7层）,1800 元/月,兰州
2171,整租·雁滩家园二期 2室2厅 南/北,城关区, 95㎡,南 北 , 高楼层 （32层）,2000 元/月,兰州
2172,整租·五金厂小区 2室1厅 南,七里河区, 80㎡,南 , 中楼层 （7层）,2300 元/月,兰州
2173,整租·百合园 2室2厅 南/北,城关区, 105㎡,南 北 , 中楼层 （6层）,2598 元/月,兰州
2174,整租·兰新 3室1厅 东/南,城关区, 72㎡,东 南 , 高楼层 （15层）,2500 元/月,兰州
2175,整租·金轮颐园小区 1室1厅 东/西,城关区, 36㎡,东 西 , 低楼层 （8层）,1500 元/月,兰州
2176,整租·世纪广场 3室2厅 南,城关区, 344㎡,南 , 高楼层 （28层）,20000 元/月,兰州
2177,整租·弘毅嘉苑 2室2厅 东/南,城关区, 89㎡,东 南 , 高楼层 （34层）,4500 元/月,兰州
2178,整租·南河新村小区 2室2厅 南,城关区, 80㎡,南 , 高楼层 （6层）,1700 元/月,兰州
2179,整租·科教城专家办公楼 9室1厅 东/南/北,安宁区, 1000㎡,东 南 北 , 低楼层 （25层）,45000 元/月,兰州
2180,整租·基业豪庭 2室1厅 南/北,城关区, 97㎡,南 北 , 中楼层 （6层）,3500 元/月,兰州
2181,整租·甘肃建投三建集团 3室1厅 西,城关区, 103㎡,西 , 中楼层 （32层）,3500 元/月,兰州
2182,整租·黄河小区家属院 3室1厅 南,安宁区, 105㎡,南 , 低楼层 （8层）,1500 元/月,兰州
