,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
377,北京优幕科技有限责任公司,UMU,50-150人,C轮,西城区,实施工程师（PHP/Go）【岗位编号003】,3-5年,本科,15k-30k,在线教育 高速发展 上升空间大 待遇优厚,社交平台,开发|测试|运维类,"五险一金,交通补助,弹性工作,午餐补助",后端开发,北京
378,北京华图宏阳网络科技有限公司,华图在线,150-500人,D轮及以上,海淀区,php高级开发工程师,5-10年,本科,25k-40k,加班可调休，享有年休假，年终奖等。,在线教育,开发|测试|运维类,"绩效奖金,五险一金,通讯津贴,带薪年假",后端开发,北京
379,广州友迅网络科技有限公司,友迅科技,50-150人,不需要融资,白云区,PHP技术主管,3-5年,本科,15k-18k,在这里，你将实现自己最大的价值。,"社交平台,IT技术服务｜咨询",开发|测试|运维类,,后端开发,广州
380,上海传琦实业有限公司,壹品仓,150-500人,未融资,闵行区,PHP架构师,5-10年,本科,25k-35k,良好的团队氛围、超长带薪年假,新零售,开发|测试|运维类,"带薪年假,绩效奖金,管理规范,美女多",高端技术职位,上海
381,北京优幕科技有限责任公司,UMU,50-150人,C轮,西城区,实施解决方案架构师 （PHP/Go）【岗位编号003】,5-10年,本科,30k-60k,在线教育 高速发展 上升空间大 待遇优厚,社交平台,开发|测试|运维类,"五险一金,交通补助,弹性工作,午餐补助",后端开发,北京
382,广东各有所爱信息科技有限公司,各有所爱信息科技,50-150人,未融资,番禺区,PHP开发主管,3-5年,本科,12k-18k,重点项目 管理优势 福利好,电商平台,开发|测试|运维类,"五险一金,地铁口,股票期权,年终分红",后端开发,广州
383,深圳尚米网络技术有限公司,尚米网络,150-500人,不需要融资,宝安区,软件开发工程师（Android/ios/php/Java/c++/嵌入式）,1年以下,本科,8k-13k,"员工旅游,五险一金,发展空间大","游戏,电商平台",开发|测试|运维类,"绩效奖金,年度旅游,技能培训,免费早餐",后端开发,深圳
384,成都麦进斗科技有限公司,麦进斗,15-50人,未融资,高新区,Magento电商PHP后端开发,在校/应届,大专,8k-13k,创新业务，全球化项目，项目合伙,"电商平台,IT技术服务｜咨询,营销服务｜咨询",开发|测试|运维类,"专项奖金,绩效奖金,年终分红",后端开发,成都
385,上海沃锐企业发展有限公司重庆分公司,沃锐集团,2000人以上,不需要融资,高新区,PHP服务端负责人,5-10年,本科,30k-50k,大平台，大咖云集,"电商,人工智能",开发|测试|运维类,,后端开发,成都
386,广州摩翼信息科技有限公司,翼课网,500-2000人,不需要融资,大兴区,PHP研发工程师,在校/应届,本科,9k-15k,"大牛带飞,队友奈斯,弹性上班",在线教育,开发|测试|运维类,"节日礼物,在线教育,岗位晋升,五险一金",后端开发,北京
387,深圳市易佰网络科技有限公司,易佰网络科技,2000人以上,B轮,龙岗区,高级PHP工程师,5-10年,大专,15k-20k,团队成熟 五险一金 不是外包,"电商平台,IT技术服务｜咨询",开发|测试|运维类,"绩效奖金,领导好,美女多,扁平管理",后端开发,深圳
388,深圳市百橡电子商务有限公司,百橡,15-50人,不需要融资,宝安区,PHP/Magento开发工程师,1-3年,本科,10k-15k,双休 五险一金 奖金多 贡献者收益 基金分红,消费生活,开发|测试|运维类,"年终分红,定期体检,年度旅游,带薪年假",后端开发,深圳
389,广州酷狗计算机科技有限公司,酷狗音乐,500-2000人,上市公司,天河区,BJ7268-ZNXT-PHP后端开发工程师,1-3年,本科,15k-30k,大平台,"音频｜视频媒体,短视频",公务员|其他,"技能培训,节日礼物,年底双薪,带薪年假",其他,广州
390,讯康信息技术（深圳）有限公司,讯康,150-500人,C轮,南山区,PHP后端开发工程师,3-5年,本科,15k-25k,"餐补,交通补,团队氛围,周末双休",移动互联网,开发|测试|运维类,"交通补助,午餐补助,带薪年假,年终分红",后端开发,深圳
391,上海瀚世企业管理咨询有限公司,瀚世企业管理咨询,150-500人,不需要融资,锦江区,PHP服务端负责人,5-10年,本科,30k-50k,工作压力小，无工时要求,工具类产品,开发|测试|运维类,,后端开发,成都
392,珠海今日要点网络科技有限公司,今日要点,50-150人,不需要融资,朝阳区,php开发总监（北京、珠海）,5-10年,本科,20k-30k,五险一金 弹性工作 老板nice 工作餐,社交平台,开发|测试|运维类,"专项奖金,绩效奖金,交通补助,通讯津贴",后端开发,北京
393,广州好智信息技术有限公司,广州好智,50-150人,未融资,黄埔区,php开发工程师（实习生）,在校/应届,本科,4k-6k,朝九晚六 周末双休,"企业服务,教育",开发|测试|运维类,"年底双薪,股票期权,绩效奖金,午餐补助",后端开发,广州
394,深圳市百橡电子商务有限公司,百橡,15-50人,不需要融资,宝安区,php开发工程师,1-3年,本科,10k-15k,奖金多 五险一金 双休 法定假日 生日会,消费生活,开发|测试|运维类,"年终分红,定期体检,年度旅游,带薪年假",后端开发,深圳
395,浙江安厨大数据技术有限公司,浙江安厨大数据技术有限公司,150-500人,不需要融资,滨江区,资深PHP开发,5-10年,本科,20k-25k,"不间断零食,扁平化管理,定期团建,帅哥美女多",新零售,开发|测试|运维类,"岗位晋升,美女多,帅哥多,领导好",后端开发,杭州
396,深圳市富连网物联网智能家居有限公司,富士康大会员服务福利...,2000人以上,未融资,龙华新区,php开发工程师,3-5年,本科,15k-25k,500强 发展前景好 大平台 福利好 氛围好,数据服务｜咨询,开发|测试|运维类,"年底双薪,带薪年假,定期体检,五险一金",后端开发,深圳
397,万兴科技集团股份有限公司,万兴科技集团股份有限公司,500-2000人,上市公司,南山区,资深PHP开发工程师 (MJ000414),5-10年,本科,25k-35k,上市公司 发展空间大 管理规范,"工具类产品,软件服务｜咨询",开发|测试|运维类,"股票期权,骨干配车,创业平台,餐饮补助",后端开发,深圳
398,上海掌韵网络科技有限公司,Tapatalk,15-50人,A轮,浦东新区,PHP,3-5年,本科,15k-30k,"硅谷氛围,加入实现经济时间心灵三大自由！","移动互联网,社交",开发|测试|运维类,"技能培训,年底双薪,绩效奖金,岗位晋升",后端开发,上海
399,成都易我科技开发有限责任公司,易我科技,150-500人,不需要融资,武侯区,php高级开发工程师,5-10年,本科,16k-20k,宽松氛围 技术氛围浓厚 平台稳定,"软件服务｜咨询,数据服务｜咨询",开发|测试|运维类,"节日礼物,技能培训,绩效奖金,岗位晋升",后端开发,成都
400,黑玥时尚科技（上海）有限公司,黑玥时尚,50-150人,A轮,浦东新区,php高级开发工程师,3-5年,大专,16k-20k,逗逼团队，成长型，技术自由，定期福利,新零售,开发|测试|运维类,"带薪年假,定期体检,节日礼物,领导好",后端开发,上海
401,北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,朝阳区,php工程师,1-3年,本科,15k-28k,公司环境佳 领导nice 大牛团队,在线教育,开发|测试|运维类,"上市公司,领军企业,五险一金,住福计划",后端开发,北京
402,广州研趣信息科技有限公司,人人租机,150-500人,B轮,天河区,php工程师（共享租赁+区块链）,1-3年,大专,10k-16k,带薪年假，五险，13薪，绩效股权激励,电商平台,开发|测试|运维类,"技能培训,股票期权,带薪年假,岗位晋升",后端开发,广州
403,北京掌上先机网络科技有限公司,掌上先机-旺店通ERP,2000人以上,A轮,海淀区,php高级开发工程师,5-10年,本科,18k-35k,股票期权，每年两次调薪,营销服务｜咨询,开发|测试|运维类,"节日礼物,专项奖金,带薪年假,绩效奖金",后端开发,北京
404,广州研趣信息科技有限公司,人人租机,150-500人,B轮,天河区,中高级php开发工程师,3-5年,大专,12k-18k,互联网公司，行业发展前景好，团队氛围nice,电商平台,开发|测试|运维类,"技能培训,股票期权,带薪年假,岗位晋升",后端开发,广州
405,湖南草花互动科技股份公司,草花互动,150-500人,不需要融资,岳麓区,高级php开发工程师,5-10年,大专,12k-20k,环境好、氛围好、美女多、食堂好吃,游戏,开发|测试|运维类,"专项奖金,股票期权,五险一金,年终分红",后端开发,长沙
406,西域供应链（上海）有限公司,西域网,500-2000人,D轮及以上,浦东新区,PHP开发工程师(J10694),3-5年,本科,15k-20k,季度奖金 补充医疗,电商平台,开发|测试|运维类,"年底双薪,绩效奖金,带薪年假,交通补助",后端开发,上海
407,北京小懂科技有限公司,小懂健康,50-150人,天使轮,通州区,PHP技术主管,5-10年,本科,15k-20k,良好的发展空间及晋升平台,"移动互联网,医疗丨健康",开发|测试|运维类,,后端开发,北京
408,云汉芯城（上海）互联网科技股份有限公司,云汉芯城,500-2000人,C轮,松江区,PHP开发工程师（PCBA、BOM方向）,1-3年,本科,14k-20k,php golang,"电商平台,制造业",开发|测试|运维类,"节日礼物,岗位晋升,技能培训,领导好",后端开发,上海
409,深圳市一页科技有限公司,一页科技,500-2000人,未融资,南山区,php开发工程师,3-5年,大专,15k-25k,五险一金，双休,IT技术服务｜咨询,开发|测试|运维类,"专项奖金,带薪年假,弹性工作,年底双薪",后端开发,深圳
